# id,beta
1431,3.36659
1432,3.36659
1433,4.91412
1434,2.07464
1435,4.91412
1436,4.91412
1437,4.91412
1438,1.83304
1439,4.91412
1440,1.85094
1441,3.36659
1442,1.45059
1443,1.45059
1444,4.91412
1445,4.91412
1446,4.91412
1447,2.18647
1448,0.89608
1449,0.83296
1450,4.81277
1451,2.61347
1452,2.61347
1453,4.81277
1454,4.81277
1455,4.81277
1456,4.81277
1457,1.66281
1458,0.83075
1459,4.81277
1460,1.66281
1461,1.66281
1462,2.09901
1463,1.66281
1464,2.61347
1465,2.61347
1466,1.06638
1467,2.07238
1468,1.10461
1469,1.45006
1470,2.91202
1471,1.19700
1472,4.27754
1473,4.27754
1474,4.27754
1475,6.26256
1476,1.59873
1477,2.08083
1478,2.08083
1479,6.26256
1480,1.19700
1481,4.27754
1482,1.68450
1483,1.26155
1484,2.46719
1485,1.44104
1486,2.18122
1487,1.45006
1488,1.68450
1489,3.25766
1490,1.22148
1491,1.12751
1492,1.44104
1493,1.16004
1494,1.19700
1495,1.12751
1496,1.16004
1497,6.26256
1498,6.26256
1499,1.26155
1500,6.26256
1501,1.59873
1502,6.26256
1503,1.45006
1504,1.99811
1505,3.10415
1506,6.26256
1507,2.18122
1508,4.27754
1509,2.77815
1510,1.26834
1511,5.53951
1512,2.20386
1513,1.26834
1514,5.53951
1515,5.53951
1516,5.53951
1517,5.53951
1518,5.53951
1519,5.53951
1520,3.35196
1521,2.71901
1522,1.61036
1523,1.66281
1524,2.61347
1525,1.54891
1526,1.12646
1527,4.81277
1528,4.81277
1529,1.66281
1530,2.61347
1531,1.33034
1532,1.12646
1533,1.12646
1534,1.51767
1535,1.51767
1536,1.66281
1537,4.10389
1538,4.81277
1539,4.81277
1540,1.09582
1541,2.61347
1542,4.81277
1543,2.61347
1544,4.81277
1545,4.81277
1546,1.12646
1547,4.91412
1548,1.85094
1549,4.91412
1550,1.85094
1551,4.91412
1552,3.36659
1553,3.36659
1554,4.91412
1555,4.91412
1556,4.91412
1557,1.11436
1558,3.36659
1559,3.36659
1560,3.36659
1561,3.36659
1562,3.36659
1563,0.92284
1564,2.10370
1565,1.12405
1566,5.32322
1567,1.67015
1568,2.64605
1569,1.32739
1570,5.32322
1571,5.32322
1572,1.08378
1573,5.32322
1574,5.32322
1575,3.52618
1576,1.67037
1577,0.92284
1578,0.92284
1579,2.42924
1580,3.52618
1581,3.52618
1582,5.32322
1583,0.75684
1584,0.77645
1585,2.27804
1586,1.67015
1587,0.75684
1588,1.67015
1589,1.23541
1590,0.92267
1591,3.52618
1592,3.52618
1593,1.23541
1594,2.27804
1595,1.53795
1596,3.52618
1597,2.10370
1598,5.32322
1599,5.32322
1600,5.32322
1601,1.16454
1602,5.32322
1603,5.32322
1604,1.23541
1605,2.10370
1606,5.81878
1607,5.81878
1608,2.15783
1609,1.44851
1610,1.27901
1611,1.58149
1612,1.06985
1613,2.92833
1614,1.81715
1615,4.68288
1616,1.50143
1617,4.68288
1618,3.49756
1619,1.24242
1620,2.52013
1621,2.52013
