# id,z0,z1
667,0.99819,0.00181
668,0.00006,0.99994
669,0.85872,0.14128
670,0.00243,0.99757
671,0.73799,0.26201
672,0.73799,0.26201
673,0.99919,0.00081
674,0.99994,0.00006
675,0.99532,0.00468
676,0.87961,0.12039
677,0.99919,0.00081
678,0.63693,0.36307
679,1.00000,0.00000
680,1.00000,0.00000
681,1.00000,0.00000
682,1.00000,0.00000
683,1.00000,0.00000
684,1.00000,0.00000
685,0.99379,0.00621
686,0.53298,0.46702
687,0.96106,0.03894
688,1.00000,0.00000
689,0.99850,0.00150
690,0.00000,1.00000
691,1.00000,0.00000
692,0.54086,0.45914
693,1.00000,0.00000
694,0.00000,1.00000
695,0.97748,0.02252
696,0.97748,0.02252
697,0.00000,1.00000
698,0.99950,0.00050
699,1.00000,0.00000
700,1.00000,0.00000
701,1.00000,0.00000
702,0.99339,0.00661
703,1.00000,0.00000
704,0.99902,0.00098
705,0.99902,0.00098
706,0.11988,0.88012
707,0.00057,0.99943
708,0.23736,0.76264
709,0.99940,0.00060
710,1.00000,0.00000
711,0.99782,0.00218
712,0.99522,0.00478
713,1.00000,0.00000
714,1.00000,0.00000
715,1.00000,0.00000
716,1.00000,0.00000
717,1.00000,0.00000
718,0.71798,0.28202
719,0.71798,0.28202
720,0.71798,0.28202
721,0.91323,0.08677
722,0.99272,0.00728
723,0.99272,0.00728
724,0.95740,0.04260
725,0.91323,0.08677
726,0.99998,0.00002
727,0.05701,0.94299
728,0.71798,0.28202
729,0.95740,0.04260
730,0.91323,0.08677
731,0.91323,0.08677
732,0.91323,0.08677
733,0.71798,0.28202
734,0.91024,0.08976
735,0.71798,0.28202
736,0.99503,0.00497
737,1.00000,0.00000
738,1.00000,0.00000
739,0.92897,0.07103
740,0.99998,0.00002
741,1.00000,0.00000
742,0.99503,0.00497
743,1.00000,0.00000
744,1.00000,0.00000
745,1.00000,0.00000
746,0.99993,0.00007
747,0.97735,0.02265
748,1.00000,0.00000
749,0.99920,0.00080
750,1.00000,0.00000
751,1.00000,0.00000
752,1.00000,0.00000
753,1.00000,0.00000
754,1.00000,0.00000
755,1.00000,0.00000
756,1.00000,0.00000
757,1.00000,0.00000
758,1.00000,0.00000
759,1.00000,0.00000
760,1.00000,0.00000
761,1.00000,0.00000
762,1.00000,0.00000
763,1.00000,0.00000
764,1.00000,0.00000
765,0.99999,0.00001
766,1.00000,0.00000
767,1.00000,0.00000
768,1.00000,0.00000
769,1.00000,0.00000
770,1.00000,0.00000
771,1.00000,0.00000
772,1.00000,0.00000
773,1.00000,0.00000
774,1.00000,0.00000
775,1.00000,0.00000
776,1.00000,0.00000
777,1.00000,0.00000
778,1.00000,0.00000
779,1.00000,0.00000
780,1.00000,0.00000
781,0.00000,1.00000
782,1.00000,0.00000
783,1.00000,0.00000
784,1.00000,0.00000
785,1.00000,0.00000
786,1.00000,0.00000
787,0.53735,0.46265
788,1.00000,0.00000
789,0.99984,0.00016
790,0.99873,0.00127
791,0.66858,0.33142
792,0.73933,0.26067
793,0.00611,0.99389
794,0.98465,0.01535
795,0.46565,0.53435
796,0.02923,0.97077
797,0.02923,0.97077
798,1.00000,0.00000
799,0.93411,0.06589
800,0.97788,0.02212
801,0.07719,0.92281
802,0.98076,0.01924
803,1.00000,0.00000
804,0.88085,0.11915
805,1.00000,0.00000
806,0.99997,0.00003
807,0.99974,0.00026
808,0.95206,0.04794
809,1.00000,0.00000
810,0.83737,0.16263
811,0.99974,0.00026
812,1.00000,0.00000
813,0.69172,0.30828
814,0.96610,0.03390
815,1.00000,0.00000
816,0.00001,0.99999
817,1.00000,0.00000
818,0.99576,0.00424
819,1.00000,0.00000
820,0.18320,0.81680
821,0.99993,0.00007
822,0.50104,0.49896
823,0.99149,0.00851
824,1.00000,0.00000
825,0.38520,0.61480
826,1.00000,0.00000
827,1.00000,0.00000
828,1.00000,0.00000
829,1.00000,0.00000
830,1.00000,0.00000
831,0.64792,0.35208
832,0.99897,0.00103
833,0.98694,0.01306
834,1.00000,0.00000
835,0.00647,0.99353
836,0.96860,0.03140
837,0.00004,0.99996
838,0.92121,0.07879
839,0.98713,0.01287
840,0.00000,1.00000
841,0.81484,0.18516
842,0.98510,0.01490
843,0.99985,0.00015
844,0.99897,0.00103
845,0.81484,0.18516
846,1.00000,0.00000
847,1.00000,0.00000
848,1.00000,0.00000
849,0.99996,0.00004
850,1.00000,0.00000
851,0.90987,0.09013
852,0.99981,0.00019
853,1.00000,0.00000
854,0.99981,0.00019
855,0.99981,0.00019
856,1.00000,0.00000
857,0.99726,0.00274
858,0.99981,0.00019
859,1.00000,0.00000
860,1.00000,0.00000
861,0.99624,0.00376
862,0.99717,0.00283
863,0.99997,0.00003
864,0.97458,0.02542
865,0.97458,0.02542
866,0.41565,0.58435
867,0.41565,0.58435
868,0.67376,0.32624
869,0.96711,0.03289
870,0.91659,0.08341
871,0.00000,1.00000
872,1.00000,0.00000
873,1.00000,0.00000
874,1.00000,0.00000
875,0.99960,0.00040
876,1.00000,0.00000
877,1.00000,0.00000
878,1.00000,0.00000
879,1.00000,0.00000
880,0.99995,0.00005
881,1.00000,0.00000
882,1.00000,0.00000
883,1.00000,0.00000
884,0.99870,0.00130
885,0.80068,0.19932
886,0.28167,0.71833
887,0.87913,0.12087
888,0.00787,0.99213
889,0.44299,0.55701
890,1.00000,0.00000
891,0.05453,0.94547
892,0.30059,0.69941
893,0.99037,0.00963
894,0.99870,0.00130
895,0.94719,0.05281
896,0.31445,0.68555
897,0.82477,0.17523
898,0.86287,0.13713
899,0.99317,0.00683
900,0.86287,0.13713
901,0.08841,0.91159
902,0.99992,0.00008
903,0.16671,0.83329
904,0.99995,0.00005
905,0.99999,0.00001
906,1.00000,0.00000
907,1.00000,0.00000
908,0.99587,0.00413
909,1.00000,0.00000
910,0.16671,0.83329
911,1.00000,0.00000
912,0.99898,0.00102
913,0.99587,0.00413
914,0.80931,0.19069
915,1.00000,0.00000
916,1.00000,0.00000
917,0.98719,0.01281
918,1.00000,0.00000
919,0.89607,0.10393
920,0.29633,0.70367
921,0.29633,0.70367
922,0.01163,0.98837
923,0.51231,0.48769
924,1.00000,0.00000
925,1.00000,0.00000
926,0.85462,0.14538
927,0.01163,0.98837
928,0.76362,0.23638
929,0.01163,0.98837
930,0.99858,0.00142
931,0.29633,0.70367
932,0.77755,0.22245
933,0.97633,0.02367
934,1.00000,0.00000
935,0.59683,0.40317
936,0.99898,0.00102
937,0.56315,0.43685
938,1.00000,0.00000
939,0.94667,0.05333
940,0.59365,0.40635
941,0.99519,0.00481
942,0.99997,0.00003
943,0.99997,0.00003
944,0.00436,0.99564
945,0.19766,0.80234
946,0.63329,0.36671
947,0.99519,0.00481
948,0.99519,0.00481
949,0.99997,0.00003
950,0.18125,0.81875
951,0.96647,0.03353
952,0.60724,0.39276
953,0.43881,0.56119
954,0.00436,0.99564
955,0.99745,0.00255
956,0.96647,0.03353
957,0.79598,0.20402
958,0.78389,0.21611
959,0.69776,0.30224
960,0.99996,0.00004
961,0.78389,0.21611
962,0.99548,0.00452
963,0.99985,0.00015
964,0.99766,0.00234
965,0.61718,0.38282
966,0.78389,0.21611
967,0.78389,0.21611
968,1.00000,0.00000
969,0.61718,0.38282
970,0.81210,0.18790
971,0.99999,0.00001
972,1.00000,0.00000
973,0.99999,0.00001
974,1.00000,0.00000
975,0.99995,0.00005
976,1.00000,0.00000
977,0.99985,0.00015
